id,username,created_at,lng,lat,text
1517355994040262656,DreTheShadow,Fri Apr 22 04:13:54 +0000 2022,-79.39984,43.66689,Just posted a photo @ Smoked Headquarters https://t.co/oxNiOPuVrf
1517355997379051521,falconfiend2,Fri Apr 22 04:13:55 +0000 2022,-98.5406515,29.417501,Try Jesus not me generation ‼️
1517355997911732224,VanCarlito2003,Fri Apr 22 04:13:55 +0000 2022,-97.1356375,32.70185,"When folks start arguing in the meeting next time I’m going to shout, “decorum!” #AtlantaFX 🤣😂"
1517355998583083009,superdopeaj,Fri Apr 22 04:13:55 +0000 2022,-117.8874385,33.739992,These dudes get paid to do this lol https://t.co/DmTWKzJQWR
1517355998771433472,Smilan317,Fri Apr 22 04:13:55 +0000 2022,-90.3817485,38.594022499999994,@AmanirenaK @Leyla_M_O Discontent from Russian military. Very  discontented.
1517355998834352128,dkpapin,Fri Apr 22 04:13:55 +0000 2022,-112.12467649999999,33.5528625,"Demarcus cousins went from being the best big man, to trash in a matter of 5 years"
1517356001363644416,Only_Charay,Fri Apr 22 04:13:56 +0000 2022,-86.1429225,39.7795625,"I gotta catch up on some podcast too, I might do that since I’m up"
1517356001502105601,roydenogletree,Fri Apr 22 04:13:56 +0000 2022,-100.0768885,31.1688935,I literally had no idea Andre Iguodala was still playing
1517356002521366529,alleyd81,Fri Apr 22 04:13:56 +0000 2022,-89.92202900000001,35.1335205,@JtheBizDev @TheOffTheGlass It makes the ball come of his hand flat. It aggravates me to no end
1517356002814930944,twowheelsg,Fri Apr 22 04:13:56 +0000 2022,-73.8311875,40.6708795,No yellow #Wordle 307 4/6⬜⬜⬜⬜⬜⬜⬜⬜⬜🟩⬜⬜⬜🟩🟩🟩🟩🟩🟩🟩
1517356004333264897,katie_cammm,Fri Apr 22 04:13:57 +0000 2022,-98.319925,38.498196,@sasscarpone Don’t sleep on Dead Beet Eats!! Im not vegan but loooove their stuff!
1517356004278632448,azridergirl,Fri Apr 22 04:13:57 +0000 2022,-112.12467649999999,33.5528625,@CalltoActivism @Gmanc95Castillo It was a thing of beauty!😎😎😎
1517356004173697025,_LilyOaks_,Fri Apr 22 04:13:57 +0000 2022,-118.48042000000001,34.022688,Sometimes I still pull it together https://t.co/mOpLKiAjug
1517356007424466944,TreskiCharles,Fri Apr 22 04:13:57 +0000 2022,-77.0143985,38.898602999999994,The way I love Foxy over Kim lol https://t.co/5J21psFQOG
1517356007621595136,BurnoutBLU,Fri Apr 22 04:13:57 +0000 2022,-89.87644900000001,32.571032,Happy Earth Day!#EarthDay2022 #EarthDay #Earth #Sustainableenergy #Sustainablehomes #Ecofriendly #Transportation… https://t.co/yzBBSnYTed
1517356009672564757,vtbirkenstock,Fri Apr 22 04:13:58 +0000 2022,-96.835249,33.1501395,Critical Stages - Help Wanted - @SEA_labor @SecMayorkas @SecMartyWalsh @USAID @SamanthaJPower @DHSgov @USCIS… https://t.co/EyDpTy7S7p
1517356009911558144,jazmin91__,Fri Apr 22 04:13:58 +0000 2022,-119.165389,34.181956,Why do I bother
1517356011773997057,Melanieeeer,Fri Apr 22 04:13:58 +0000 2022,-95.44648649999999,29.838495,@brianadamariss Hottieee
1517356013568937984,cHente_47,Fri Apr 22 04:13:59 +0000 2022,-117.66185300000001,34.119646,Damn this new $b fye
1517356014747602944,cohen_melanie,Fri Apr 22 04:13:59 +0000 2022,-118.377313,33.854669,@CatherinVaritek @fenwaypark The braintrust of Red Sox history! 😍😘
